gid,name,rank,potential,askStatus,requestType,programHaleyHouse1,programHaleyHouse2,programHaleyHouse3,programHaleyHouse4,programHaleyHouse5,fundingType1,fundingType2,fundingType3,unsolicited_proposals,mission,oldMission,website,street_address,city,state,zip_code,phone,email,contact_first_name,contact_last_name,contact_email,contact_phone_number,notes
129,Delta Dental,5,$500.00,,r,,,,,,,,,,,,,,,,,,,,,,,
130,Community Partners,5,"$3,960.00",,r,,,,,,,,,,,,http://www.dssc9.org/,"113 Crosby Rd, Suite 1",Dover,NH,,(603) 516-9300,info@communitypartnersnh.org,,,,,
131,Fund for the Homeless,5,"$8,000.00",,r,,,,,,,,,,,,,,,,,,,,,,,
133,Bank of America: Local Heroes Award,5,"$5,000.00",,r,,,,,,,,,,,,,,,,,,,,,,,
134,Example Foundation,2,"$5,000.00",,,ag,aili,,,,caps,,,,,,,,,,,,,,,,,
135,Citizen's Bank: Champions in Action,2,"$35,000.00",submitting,pd,TEP,,,,,ops,,,y,,,http://www.necn.com/pages/champions_in_action_what_is,,,,,,,,,,,
136,Mabel Louise Riley Foundation,1,"$30,000.00",submitting,r,hhbc,,,,,,,,,"Collaboration with other funders, Education and social services for disadvantaged children and adolescents, Preschool reading programs, Community development for low-ince and minority neightborhood, job development/training, housing, Cultural and art improvements, Community wide benefit, Improvement of race relations and neighborhood safety.",,http://www.rileyfoundation.com/GRANTGUIDELINES.pdf,"Mabel Louise Riley Foundation, 77 Summer Street, 8th Floor",Boston,MA,02110-1006,(617) 399-1850,info@rileyfoundation.com,Nancy ,Saunders,,,
137,Grand Circle Foundation,4,"$15,000.00",submitting,nf,tbk,,,,,,,,,,,http://www.grandcirclefoundation.org/Get-Involved/2010-Grand-Circle-Associates-Fund/Associates-Fund-How-to-Apply.aspx,347 Congress Street,Boston,MA,2012,(617) 346-6602,,Lianne,Hughes,Lhughes@grandcirclefoundation.org,,
138,Esther B Kahn Charitable Foundation,5,"$5,000.00",submitting,nf,aili,,,,,,,,,"innovative approaches to education, the arts and medical research",,http://www.estherbkahn.org/,Esther B Kahn Charitable Foundation,Boston,MA,02110,,,,,,,
139,Edwin S. Webster Foundation,4,"$15,000.00",submitting,nf,hh,hhbc,,,,,,,,,,http://websterfoundation.grantsmanagement08.com/?page_id=5,"77 Summer St., 8th Fl.",Boston ,MA,02110,(617) 391-3087,mjenney@gmafoundations.com,Michelle,Jenney,mjenney @ gmafoundations.com,(617) 391-3087,
140,Ella Lyman Cabot Trust,3,"$15,000.00",submitting,nf,tep,,,,,ind,,,y,,,http://www.cabottrust.org/how-to-apply/,"77 Summer St., 8th Fl.",Boston,MA,02110,(617) 391-3087,mjenney@gmafoundations.com,Michelle,Jenney,,,
142,"Linden Foundation, The",5,"$10,000.00",,nf,tep,,,,,pgm,,,y,,,http://millerfoundation.grantsmanagement08.com/?page_id=5,"77 Summer St., 8th Fl.",Boston,MA,02110 ,,,,,,,
143,Herman and Frieda L. Miller Foundation,3,"$40,000.00",,nf,hhbc,hh,,,,ops,,,n,"advocacy, civic engagement, community organizing","pports civic engagement, advocacy, and community organizing",http://millerfoundation.grantsmanagement08.com/,"77 Summer St., 8th Fl.",Boston,MA,02110,(617) 426-7080,,Ruth,Victorin,rvictorin@gmafoundations.com,(617) 291-3101,
144,Amelia Peabody Foundation,5,,denied,nf,tbk,,,,,,,,,,,www.ameliapeabody.org,"One Hollis Street, Suite 215",Wellesley,MA,02482,(781) 237-6468,,Margaret,St. Clair,,,
145,Nellie Mae Education Foundation,4,"$15,000.00",,,hh,tbk,mg,,,,,,,,will fund galas and events! (make a notes section),http://www.nmefoundation.org/grants/awarded-grants?page=2,"1250 Hancock St, Suite 205N",Quincy,MA,02169,(781) 348-4200,,Stephanie,Cheney,scheney@nmefoundation.org,(781) 348-4240,
146,"Cabot Corporation Foundation, Inc.",3,"$10,000.00",submitting,,hh,tbk,mg,hhbc,,pgm,,,,"agriculture, arts, arts (performing), basic needs, black male leadership, children, civic engagement, climate, community development, community engagement, community organizing, culture, disadvantaged, economic development, economic mobility, economic security, economically disadvantaged, education, education experiential, elderly, entrepreneurship, environmental sustainability, ex-offenders, families, financial literacy, girls, health, homeless, housing, human services, humanities, independent elderly living, job training, music, nutrition, race relations, racial equality, re-entry, research, social justice, veterans, violence prevention, volunteerism, women, workforce development, youth",,www.cabot-corp.com/About-Cabot/Corporate-Giving,"Two Seaport Lane
STE 1300",Boston,MA,02210,(617) 342-6002,Cabot.Corporation.Foundation@cabotcorp.com,Jane,Bell,,,
147,"The Liberty Mutual Foundation, Inc.",3,"$29,000.00",submitting,,tbk,mg,hh,,,,,,,"children, education, health, youth",,www.libertymutualgroup.com,175 Berkely Street,Boston,MA,2116,(617) 357-9500,,,,,,
148,Red Sox Foundation,5,"$1,000.00",submitting,,mg,tbk,,,,,,,,"children, education",,www.redsoxfoundation.org,4 Yawkey Way,Boston,MA,02215,(617) 226-6000,,,,,,
149,Bank of America: Deborah Munroe Noonan Memorial Fund,5,,,,mg,tbk,housing,hh,,,,,,"education, health, human services",,https://www.bankofamerica.com/philanthropic/foundation.go?fnId=38,,,,,,,,,,,
150,"Bank of America Charitable Foundation, Inc.",1,"$10,000.00",accepted,,,,,,,,,,,"Jobs (workforce development and education), Housing (community development), Hunger (basic human services)",,http://about.bankofamerica.com/en-us/global-impact/find-grants-sponsorships.html#fbid=trIQj7Ypw7U,"Bank of America, 100 Federal Street, MA5-100-10-09",Boston,MA,02110,,,Alicia,Verity,,(617) 434-6766,
152,CJP Boston Jewish Community Women's Fund,,"$10,000.00",accepted,,tbk,,,,,pgm,,,n,creating an equitable world that expands opportunities for women and girls,,http://www.cjp.org/Boston-Jewish-Community-Womens-Fund.aspx,126 High Street,Boston,MA,02110,(617) 457-8500,,Cindy,R,cindryr@cjp.org,(617) 457-8589,
187,America the Beautiful Fund,3,,,,mg,,,,,pgm,,,,"agriculture, community development, education, environmental sustainability, health, youth",0,http://www.america-the-beautiful.org/,"725 15th St., N.W., Ste. 605",Washington,DC,,,,Nanine ,Bilski,info@america-the-beautiful.org,(202) 638-1649,1869423
188,Ashoka: Innovators for the Public,2,,,,,housing,hhbc,tbk,tep,pgm,,,,"advocacy, civic engagement, community development, community engagement, community organizing, disadvantaged, economic development, education, entrepreneurship, health, housing, human services, social justice",5736846,http://www.ashoka.org,"1700 N. Moore St., Ste. 2000",Arlington,VA,,,,"William Drayton, Chair. and C.E.O.",Drayton,info@ashoka.org,(703) 527-8300,85527912
189,"Bay State Savings Charitable Foundation, Inc.",,"$3,000.00",,,housing,hh,tbk,,,cap,ops,pgm,,"community development, education, health, housing, human services",27300,https://www.baystatesavingsbank.com/index.php/about-us/community-involvement/,28 Franklin St.,Worcester,MA,01608,(800) 244-8161,,Diane ,Giampa,,(508) 890-9000,151261
191,"Careers through Culinary Arts Program, Inc.",,,,,,,,,,,,,,,3028148,http://www.ccapinc.org,"250 W. 57th St., Ste. 2015",New York,NY,,,,,,info@ccapinc.org,(212) 974-7111,2063283
192,Cathay Bank Foundation,3,"$10,000.00",,,hh,sk,tbk,hhbc,,ops,ops,,,"arts, culture, disadvantaged, economic development, education, health",1227000,http://www.cathaybank.org,777 N. Broadway,Los Angeles,CA,,,,Thomas Wilson,,foundation@cathaybank.com,(213) 625-4899,"gives to a lot of Asian Community Centes in Boston, 990 available"
193,"Chase Trust, Alice P.",1,"$75,000.00",,,sk,mg,hh,,,ops,cap,pgm,,"community engagement, economic development, education, health, homeless, housing, human services, youth",340000,,P.O. Box 185,Pittsburgh,PA,,,,,"BNY Mellon, NA",,,6005391
195,"Clowes Fund, Inc., The",,,,,hh,,,,,cap,ind,ops,,"arts, education, human services",2369008,http://www.clowesfund.org,"320 N. Meridian St., Ste. 316",Indianapolis,IN,46204,(317) 833-0144,,"Elizabeth A. Casselman, Exec. Dir.",,staff@clowesfund.org,(317) 833-0144,60258745
196,Community Foundation of Southeastern Massachusetts,4,,,,hh,,,,,ops,pgm,,,"arts, children, civic engagement, community development, community engagement, culture, disadvantaged, economic development, education, health, housing, human services, violence prevention, women, youth",2543799,http://www.cfsema.org,63 Union St.,New Bedford,MA,,,,"Craig J. Dutra, Pres.",,info@cfsema.org,(508) 996-8253,23511643
199,Eastern Bank Charitable Foundation,3,"$2,500.00",,,mg,tbk,,,,pgm,,,,"arts, children, community development, community engagement, culture, education, families, financial literacy, health, human services, nutrition, youth",2692876,https://www.easternbank.com/foundation,"195 Market St., EP5-02",Lynn,MA,,,,"Laura Kurzrok, Exec. Dir.; Cindy Ciman, Fdn. Admin.",,l.kurzrok@easternbk.com,(781) 598-7595,54853563
200,Easthampton Savings Foundation,4,,,,housing,sk,hh,,,cap,ops,,,"economic development, homeless, housing",187167,https://www.bankesb.com/,36 Main St.,Easthampton,MA,,,,"Bozena Dabek, Treas.",,,(413) 779-2296,1675863
201,Ford Foundation,,,,,,,,,,,,,,,478286000,http://www.fordfoundation.org,320 E. 43rd St.,New York,NY,,,,Secy.,,secretary@fordfoundation.org,(212) 573-5000,10984721000
202,"Forest City Enterprises, Inc. Charitable Giving Program",,,,,,,,,,,,,,,,http://www.forestcity.net/company/core_values/Pages/default.aspx,"50 Public Sq., Ste. 1405",Cleveland,OH,,,,"Linda Kane, Sr. V.P. and Treas.",,lindakane@forestcity.net,(216) 621-6060,
203,Good360,,,,,,,,,,,,,,,311050611,http://about.good360.org,"1330 Braddock Pl., Ste. 600",Alexandria,VA,,,,"Jenny Bertolette, Mgr., Comms and Public Rels.",,serviceteam@good360.org,(703) 836-2121,25111914
204,"Hunt Foundation, Roy A.",,,,,,,,,,,,,,supporting organizations that strive to improve the quality of life.,2844599,http://www.rahuntfdn.org,"One Bigelow Sq., Ste. 630",Pittsburgh,PA,,,,"Tony Macklin, Exec. Dir.",,info@rahuntfdn.org,(412) 281-8734,66449198
205,Hyde Charitable Foundation,,,,,,,,,,,,,,,170700,,54 Eastford Rd.,Southbridge,MA,,,,"Richard B. Hardy, Tr.",,,(508) 764-4344,3684585
206,"Kerr Fund, Inc., Grayce B.",,,,,,,,,,,,,,,1011433,http://gbkf.org/,117 Bay St.,Easton,MD,,,,"John R. Valliant, C.E.O. and Pres.",,office@gbkf.org,(410) 822-6652,30256638
207,MetLife Foundation,,,,,,,,,,,,,,,41195014,http://www.metlife.org,1095 Ave. of the Americas,New York,NY,10166,,,"A. Dennis White, C.E.O. and Pres.",,metlifefoundation@metlife.com,(212) 578-6272,166318974
208,"Novell, Inc. Corporate Giving Program",,,,,,,,,,,,,,"Education, Homeless&Hungry, Arts&Culture",,http://www.novell.com/company/cr/corporate_giving.html,1800 South Novell Pl.,Provo,UT,84606,(801) 861-7000,CRC@novell.com,,Community Rels.,,(801) 861-4272,
209,OMNOVA Solutions Foundation Inc.,,,,,,,,,,,,,,,1684500,http://www.omnova.com/about/community/community.aspx,175 Ghent Rd.,Fairlawn,OH,44333,(330) 869-4200,,"Theresa Carter, Pres.",,theresa.carter@omnova.com,(330) 869-4289,22650812
210,"People's United Community Foundation, Inc., The",,,,,,,,,,,,,,,2335366,https://www.pucf.org/,850 Main St.,Bridgeport,CT,06604,,,"Tammy L. Torres, Admin. and Agency Liaison Dir.",,foundation@pucf.org,(203) 338-6111,43097329
211,"Riley Foundation, Mabel Louise, The",,,,,,,,,,,,,,,2802983,http://www.rileyfoundation.com,"77 Summer St., 8th Fl.",Boston,MA,02110 ,(617) 399-1850,,"Nancy A. Saunders, Admin.",GMA,nsaunders@rileyfoundation.com,(617) 399-1850,54711393
212,Saint-Gobain Corporation Foundation,,,,,,,,,,,,,,,1173695,http://www.saint-gobain-northamerica.com/people/foundation.asp,750 E. Swedesford Rd.,Valley Forge,PA,19482,(610) 341-6000,SGNorthAmericaInfo@saint-gobain.com,"William C. Seiberlich, Secy.",,,,
213,"Shaw Foundation, Gardiner Howland",,,,,,,,,,,,,,,618300,http://www.shawfoundation.org,355 Boylston St.,Boston,MA,02116,(617) 247-3500,,"Thomas Coury, Exec. Dir.",,admin@shawfoundation.org,(761) 455-8303,17810930
214,"Shaw's Supermarkets, Inc. Corporate Giving Program",,,,,,,,,,,,,,,,http://www.shaws.com/our-company/in-the-community/,750 West Center St.,West Bridgewater,MA,,,,,,,,
215,South Shore Savings Charitable Foundation Inc.,,,,,,,,,,,,,,,73700,http://www.sssb.com/about-us/charitable-foundation.aspx,1530 Main St.,South Weymouth,MA,02190,,,"Kimberly Stoyle, Clerk and Treas.",,,(781) 682-3115,1552178
216,"Starwood Hotels and Resorts Worldwide Foundation, Inc.",,,,,,,,,,,,,,,407179,http://www.starwoodhotels.com/corporate/about/citizenship/foundation.html,"155 Federal St., Ste. 700",Boston,MA,02110,,,"Kristin Meyer, Clerk",,charitablegiving@starwoodhotels.com,(877) 443-4585,2905675
217,"Stoico/FIRSTFED Charitable Foundation, Robert F.",,,,,,,,,,,,,,,472347,http://www.stoicofirstfed.org,P.O. Box 438,Swansea,MA,02777,(508) 235-1368,,"Cecilia Viveiros, Exec. Dir.",,cecilia@stoicofirstfed.org,,15695066
218,"Stop & Shop Supermarket Company LLC Corporate Giving Program, The",,,,,,,,,,,,,,,,http://www.stopandshop.com/about_us/community/index.htm,P.O. Box 55888,Boston,MA,,,,,Community Affairs,,(617) 770-6050,
219,"Tufts Health Plan Foundation, Inc.",,,,,,,,,,,,,,,2931918,http://www.tuftshealthplanfoundation.org/foundation.php,705 Mt. Auburn St.,Watertown,MA,02472,(617) 972-9400,,James,Roosevelt Jr.,foundation@tufts-health.com,,72206529
221,Catherine and Paul Buttenweiser Foundation,5,"$44,800.00",,,tbk,mg,housing,sk,,,,,n,"arts, civic engagement, community development, education, environmental sustainability, health, housing, human services, religion",,,307 5th Ave 8th Fl,New York,NY,10016,,,,,,,c/o B Strauss Assoc
222,Massachussetts Service Alliance,4,"$4,500.00",,,sk,,,,,,,,n,"civic engagement, community development, volunteerism, youth",Volunteer and Community Services,http://www.mass-service.org,"100 N. Washington Street, 3rd Floor",Boston,MA,02114,(617) 542-2544,,,,,,"Grants are on rolling basis; most likely eligible for ""mini grant"" *intermediary for Americorps sponsorship"
223,BNY Mellon,3,,,,sk,,,,,,,,,"community development, education, financial literacy, health, housing, human services, job training",workforce development or basic needs provision,http://www.bnymellon.com/about/charitablegiving-howto.html,201 Washington St,Boston,MA,02108,(617) 722-7174,,,,,,has given to abcd
224,Bushrod H. Campbell and Adah F. Hall Charity Fund,3,"$10,000.00",,,em,,,,,,,,y,"elderly, health","aid to the elderly, direct medical care, reproductive health",http://www.hembar.com/personal_advisors.php?ServiceID=14&SubServiceID=19,60 State Street,Boston,MA,02109,(617) 619-8257,,Brenda,"Taylor, Administrator",,(617) 619-8257,has given to abcd
225,Paul and Phyllis Fireman Charitable Foundation,5,,,,sk,housing,,,,,,,n,"homeless, housing",ending family homelessness,www.ppffound.org,"240 Newbury Street, 2nd Fl.",Boston,MA,2116,(617) 482-5624,,Ana,"Jimenez, Associate Project Manager",,(617) 482-5624,"*as of 8/19/13: Currently the Foundation is assessing its grant making and expects to add new program areas and initiatives in the near future. Until our process is complete, we are not accepting unsolicited funding proposals. Should check back."
226,Rae Family Charitable Trust,3,"$15,000.00",,,sk,,,,,,,,,"economically disadvantaged, homeless",*no mission available,,2223 Washington Street #306,Newton,MA,02462,(617) 658-7600,,,,,,*no info online but has 990 and has given to Rosie's Place and Pine Street Inn
227,Roberta Thall Charitable Trust,4,"$30,000.00",,,sk,housing,em,,,,,,,"elderly, homeless, housing",*no mission available,c/o teamtza.com,"39 Concord Street, PO Box 6590",Holliston,MA,01746,(508) 306-0360,info@teamtza.com,,,,,"* no info online, 990 has given to Food bank, Boston Affordable Housing Coalition, Mass Senior Action Council"
,Agnes M. Lindsay Trust,,"$2,500.00",,nf,tep,,,,,,,,,,,http://www.lindsaytrust.org/Grant-Center.html,660 Chestnut Street,Manchester,NH,03104,(603) 669-1366,admin@lindsaytrust.org,Susan,Bouchard,,,
,American Express Charitable Fund: Serve2Gether Grants,,"$10,000.00",,,ct,sk,,,,,,,,Community Service/Food Service,,,,,,,,,,,,,
,Annie's School Garden Grants,3,"$1,500.00","next app due: Dec 2, 2013",contest,mg,,,,,,,,,,,http://www.annies.com/school-gardens/grants-for-gardens/grant-application/,,,,,,,,,,,
,Barbara Lynch Foundation,5,,,,,,,,,,,,,,They only fund programs by NFTE (Network For Teaching Entrepreneurship) in schools in 2013/14,http://barbaralynch.com/foundation/get-involved/,,,,,,,,,,,
,Biogen Idec Foundation,,"$15,000.00",,,ct,sk,,,,,,,,"Science, Community Service",,http://www.biogenidec.com/biogen_idec_foundation.aspx?ID=9515,,,,,,,,,,,
,"Cabot Corporation Foundation, Inc.",,,,,mg,,,,,,,,,,,,,,,,,,,,,,
,Captain Planet Foundation Earth Grant,,,1/31/2014,,mg,,,,,,,,,,,http://captainplanetfoundation.org/online-grant-application-instructions/,,,,,,,,,,,
,Catherine and Paul Buttenweiser Foundation,5,"$44,800.00",,,mg,tbk,,,,,,,,"arts, civic engagement, community development, education, environmental sustainability, health, housing, human services, religion",,,307 5th Ave 8th Fl,New York,NY,10016,,,,,,,c/o B Strauss Assoc
,"ConAgra Foods Foundation: Nourish Our Community, Community Impact Grants",,"$50,000.00",,,ct,,,,,,,,,"TBK potential- focus on child hunger/nutrition education, check back for guidelines- MA eligibility?",,,,,,,,,,,,,
,"Copeland Family Foundation, Inc.",,"$4,000.00",,,fp,,,,,,,,,"Food Pantry Giving, gives primarily in Milton, MA for things other than food pantries (ie. animal shelters)",,,,,,,,,,,,,
,Fiskar Project Orange Thumb,2,"$5,000.00","next app due: Dec 31, 2013",contest,mg,,,,,,,,,"community dev, environment",,http://www2.fiskars.com/Community/Project-Orange-Thumb,,,,,,,,,,,
,Kresge Foundation,5,"$200,000.00",,nf,hh,cap,,,,,,,,,,,,,,,,,,,,,
,Moses Kimball Fund,,"$7,000.00",,nf,tep,,,,,,,,,,"Grants to organizations which either provide jobs to minorities and disadvantaged members of the greaterboston community, or links between educational organizations and the needy members of the adjacent communities.",http://moseskimballfund.org/,"Loring, Wolcott & Coolidge Office 230 Congress Street",Boston,MA,02110,(617) 523-6531,,Ms. Susan Harrington (Grand Administrator),,,,
,Soveriegn Bank Foundation,,,,nf,,,,,,,,,,,,http://icbny.com/companyinfo/company_information/community_development/foundation_guidelines.asp,,,,,,,,,,,
,"The Liberty Mutual Foundation, Inc.",3,"$29,000.00",submitting,,mg,tbk,,,,,,,,"children, education, health, youth",,www.libertymutualgroup.com,175 Berkely Street,Boston,MA,2116,(617) 357-9500,,,,,,
,The Scott's Miracle-Gro Gro1000 Grassroots Grant,2,"$1,500.00",Next app: Feb 2014,,mg,,,,,,,,,"community dev, environment",,http://www.grogood.com/GiveBackToGro/Gro1000/Grassroots,,,,,,,,,,,
,Thomas Anthony Pappas Charitable Foundation,,"$2,000.00",,,,,,,,,,,,,,,P.O. Box 463,Belmont,MA,02478-0004,,,John C.,Pappas,,(781) 862-2802,
,True Temper Youth Garden Grant,,,"next app due: Dec 6, 2013",contest,mg,,,,,,,,,,,http://grants.kidsgardening.org/2014-youth-garden-grant,,,,,,,,,,,
